OPER_DATE,SMP_01,SMP_02,SMP_03,SMP_04,SMP_05,SMP_06,SMP_07,SMP_08,SMP_09,SMP_10,SMP_11,SMP_12,SMP_13,SMP_14,SMP_15,SMP_16,SMP_17,SMP_18,SMP_19,SMP_20,SMP_21,SMP_22,SMP_23,SMP_24
31-Aug-20,63.826,44.426,35.505,35.492,29.426,27.048,34.145,34.174,55.222,50.298,50.352,48.891,67.106,65.268,75.655,96.01,67.241,75.649,96.07,96.09,96.11,96.11,67.29,96.08
30-Aug-20,96.05,52.111,52.059,67.11,46.046,46.099,47.566,46.041,65.796,35.716,35.726,37.634,46.046,47.539,46.022,35.736,37.634,52.111,96.05,68.658,52.188,50.111,52.201,75.727
29-Aug-20,47.416,39.416,37.309,45.769,45.8,35.778,35.523,35.423,35.437,35.437,35.433,45.778,37.299,67.159,67.167,52.973,75.667,67.135,96.06,96.09,67.282,51.569,51.578,65.311
28-Aug-20,65.459,48.481,47.041,44.729,37.054,35.791,46.429,47.589,48.653,48.748,64.428,46.429,48.982,39.728,39.728,49.276,44.729,50.728,51.587,51.579,51.522,51.607,49.581,65.253
27-Aug-20,69.21,67.5,67.481,67.471,67.081,65.574,67.142,39.711,59.411,65.415,67.137,67.142,67.5,69.07,69.07,69.069,69.07,75.649,69.212,96.13,96.13,69.214,69.213,69.213
26-Aug-20,35.861,35.816,35.16,32.964,29.425,29.425,35.188,48.666,48.999,49.423,49.356,65.436,67.117,51.531,59.326,59.325,51.545,51.529,49.765,49.761,67.258,67.277,67.4,67.4
25-Aug-20,48.707,47.035,47.047,43.817,35.61,37.219,47.104,47.035,50.287,68.77,67.767,93.939,96.07,96.09,96.08,93.876,96.1,96.1,94.096,67.285,49.948,59.818,76.25,67.171
24-Aug-20,65.299,46.29,46.19,46.19,38.27,38.27,34.742,35.92,37.811,45.67,49.18,48.872,36.042,49.748,49.752,49.731,59.888,67.18,65.253,65.363,67.775,67.784,65.654,67.701
23-Aug-20,65.332,50.507,48.888,65.783,45.789,45.572,45.661,37.281,34.823,34.836,34.891,34.932,66.869,51.516,35.041,51.438,65.783,67.169,50.457,65.436,48.638,48.584,48.586,67.165
22-Aug-20,37.209,37.186,38.022,35.668,35.668,31.437,28.837,28.837,31.437,27.05,27.05,28.837,28.837,30.437,31.437,31.451,33.412,45.327,47.254,47.967,48.04,47.945,47.583,55.864
21-Aug-20,36.805,44.421,37.375,37.375,37.375,36.805,36.805,39.669,35.325,36.242,46.821,67.102,67.112,36.209,67.115,35.225,35.225,34.971,41.355,35.52,49.273,36.295,44.421,48.683
20-Aug-20,63.932,47.09,37.044,29.431,37.044,37.33,47.19,47.097,35.251,47.042,49.431,35.123,35.15,35.157,35.157,33.751,35.171,36.373,51.431,51.761,55.936,51.765,51.541,51.266
19-Aug-20,65.1,65.39,67.51,67.51,67.056,67.072,67.105,65.42,65.11,65.346,67.171,67.171,67.53,67.53,67.164,48.12,48.122,65.09,65.281,65.11,67.203,67.54,67.53,67.52
18-Aug-20,67.171,51.713,65.683,51.813,66.981,51.713,49.908,67.123,51.817,51.733,51.723,65.375,67.171,51.755,46.569,46.678,51.764,95.89,95.883,67.171,95.956,95.971,123.682,94.97
17-Aug-20,35.749,35.749,45.209,37.829,37.814,36.411,35.749,45.155,41.547,41.547,37.757,36.789,34.955,33.95,33.957,31.414,34.957,46.658,49.569,67.16,67.171,67.171,67.106,150.02
16-Aug-20,57,57,57.02,57.02,57,57,37.437,32.514,39.042,30.888,30.888,28.777,29.777,29.777,28.477,29.777,29.777,30.877,34.087,37.672,46.975,37.778,34.111,35.124
15-Aug-20,49.972,49.538,41.7,41.7,39.733,39.956,44.99,44.704,44.175,38.81,42.606,42.606,66.781,66.786,42.606,42.883,38.666,37.815,44.895,46.052,47.194,47.816,47.205,46.963
14-Aug-20,40.314,40.314,40.414,40.414,40.314,40.314,40.314,39.394,67.171,39.551,39.546,39.545,39.565,39.573,39.573,39.568,39.573,39.693,52.052,67.171,52.032,66.301,75.4,75.5
13-Aug-20,41.26,41.36,43.34,51.722,41.26,41.26,41.26,39.592,39.503,39.487,39.487,39.477,39.449,67.121,49.696,40.086,51.774,51.61,52.076,67.171,51.939,67.202,67.341,51.996
12-Aug-20,67.364,67.283,67.222,67.126,51.522,39.046,38.971,38.684,38.73,38.73,38.83,38.73,38.73,39.048,51.522,51.522,67.171,51.574,51.979,52.052,67.171,67.171,52.004,67.131
11-Aug-20,68.731,67.153,67.057,40.426,39.241,39.291,40.704,39.149,39.245,38.998,39.012,34.837,34.854,34.857,38.957,38.903,38.952,67.371,67.35,67.309,67.341,67.341,69.5,69.1
10-Aug-20,29.278,34.901,34.695,34.646,35.622,35.622,34.76,34.912,34.835,34.79,30.478,29.5,29.5,29.5,29.5,30.477,30.495,35.441,37.534,36.911,51.661,51.695,51.064,50.398
9-Aug-20,30.168,31.366,30.866,32.395,30.239,33.395,34.988,32.375,35.01,35.021,29.395,31.921,83.188,36.513,34.862,34.848,29.5,31.395,31.366,31.924,41.029,34.887,31.93,31.924
8-Aug-20,34.777,35.536,35.543,35.497,35.377,35.284,35.543,35.543,29.5,31.777,29.392,31.777,67.171,67.171,35.552,35.224,29.5,33.636,33.756,35.191,35.583,35.593,35.644,33.779
7-Aug-20,34.022,36.822,41.7,40.4,36.785,40.391,36.794,36.836,38.102,48.871,48.661,36.831,36.831,36.114,30.678,30.677,30.678,36.083,36.984,37.01,49.5,41.602,37.029,36.868
6-Aug-20,37.97,37.87,37.903,37.903,37.783,37.786,37.771,50.069,37.916,38.155,51.151,51.309,67.136,65.268,37.869,37.903,51.151,38.173,50.311,37.858,37.866,38.211,37.841,37.741
5-Aug-20,48.777,41.123,37.932,37.932,37.932,37.932,37.932,65.415,38.072,38.106,38.108,38.102,48.778,58.819,38.075,38.081,50.925,67.223,50.952,51.236,51.224,50.902,50.95,50.312
4-Aug-20,46.777,39,38.238,41.7,39,38.243,46.777,50.071,51.615,51.647,51.649,51.653,64.699,52.05,52.056,60.783,54.154,51.679,52.057,51.669,51.235,51.239,67.2,67.3
3-Aug-20,38.002,38.1,37.929,37.929,37.626,32.465,35.903,37.756,51.022,51.095,67.243,38.001,37.993,37.968,50.932,50.96,50.936,67.319,51.2,67.327,54.62,53.082,51.153,65.95
2-Aug-20,54.1,53.82,51.664,51.606,35.067,35.067,35.067,34.228,35.066,35.062,35.067,35.067,35.067,37.998,35.067,35.069,29.5,31.485,34.197,35.149,37.897,38.798,38.831,53.85
1-Aug-20,51.755,51.666,51.703,48.11,50.315,43.777,43.277,50.432,51.656,51.682,51.693,65.353,51.762,67.33,95.201,95,95,67.346,50.931,39.34,39.349,51.787,51.7,67.349
